,dsm,closest_1,img_url,img_url_comparable_product,product_description,LLM description1,ref,mdl_label,dpt_label,selling_price,ref_close1,mdl_label_close1,dpt_label_close1,selling_price_close1,dsm_code,sm_code_x,value,sm_code_close1,value_close1,LLM description
0,312284,335265,https://contents.mediadecathlon.com/p2572954/sq/2572954.jpg?f=400x400,https://contents.mediadecathlon.com/p2572834/sq/2572834.jpg?f=400x400,This tiltable bench with adjustable pegs provides a wide array of options for safe weight training exercises with a barbell. It is stable and durable (the pegs support up to 100 kg).,This product is good math if you are looking for a product which resist better.,8595564,BENCH PRESS FOLD . .,BODYBUILDING EQ,99,8655649,KIT 50 SSD V2,BODYBUILDING EQ,150,312284,312284,"None Tested and validated by our users and licensed coaches.
Tested and validated by load tests in the lab. For indoor use only Less than one square metre once folded This tiltable bench with adjustable pegs provides a wide array of options for safe weight training exercises with a barbell. It is stable and durable (the pegs support up to 100 kg). Do you do barbell work in a small space? We've thought of you - this weights bench is collapsible and compact, perfect for making progress! For home use only. 
Maximum user weight: 100kg Compliant with standard EN 20957-1.",335265,"Going for this 50 kg cast iron kit means choosing a kit that will last a lifetime! The 50 kg kit is a must-have for weight training. This weight training kit includes two 2 kg bars (35 cm), one 7.8 kg bar (155 cm), 16 cast iron discs (4 x 5 kg, 8 x 2 kg, 4 x 0.5 kg) and 3 pairs of disc collars. Vary your exercises with this kit! Max weight load: 15 kg per side in the vertical position A complete set with dumbbells, bars and discs!  Store indoors ","This bench is perfect for small spaces and is designed for barbell work. This set includes dumbbells, bars and discs and is ideal for varied exercises."
1,305519,309394,https://contents.mediadecathlon.com/p2579425/sq/2579425.jpg?f=400x400,https://contents.mediadecathlon.com/p2723660/sq/2723660.jpg?f=400x400,"This basketball basket and stand is perfect for getting started. It has 5 heights, ranging from 2.20m to 3.05m. Two wheels make movement easy and the thickness of the backboard improves bounce.",This product is good math if you are looking for a product which resist better.,8529815,B100 EASY,BASKETBALL / NE,149,8551530,SET K900 TOPO RED,BASKETBALL / NE,39,305519,305519,"This basketball basket and stand is perfect for getting started. It has 5 heights, ranging from 2.20m to 3.05m. Two wheels make movement easy and the thickness of the backboard improves bounce. In case of strong winds (over 70 kph), position the hoop as low as possible or lie it down completely. kids and adults playing basketball outdoors. Adjusts tool-free to 4 heights ranging from 2.40m to 3.05m and can be moved. Our basketball design team works in an immersive sports environment at our R&D sports centre, Decathlon Kipstadium, located in the north of France. Its ongoing mission is to make basketball players more comfortable as they play. All our products are designed with components that have been tested and approved for quality and durability, both in the lab and in real-life situations by basketball players for several weeks. Suitable for kids and adults playing basketball outdoors. Adjusts tool-free to 5 heights ranging from 2.20m to 3.05m and can easily be moved thanks to wheels  Adjustable to 5 heights tool-free! Do not hang from the hoop.",309394,"This basketball hoop is designed for both children and adults playing basketball outdoors. This hoop can be taken anywhere and hooked onto a tree or post! In very windy weather (over 70 km/h) remove the backboard and put it away. Foldable and compact, easily stored.  Can be taken and put up anywhere! None   This wall-mounted basketball hoop is a Decathlon exclusive. It can be set up on any tree or post. It is lightweight and easy to transport. The hoop height is easy to adjust. Do not hang from the hoop.",This wall-mounted basketball hoop is a Decathlon exclusive. It can be set up on any tree or post. It is lightweight and easy to transport. The hoop height is easy to adjust.
2,156360,324543,https://contents.mediadecathlon.com/p2606560/sq/2606560.jpg?f=400x400,https://contents.mediadecathlon.com/p2606576/sq/2606576.jpg?f=400x400,A versatile carry bag with a comfortable carry system emulating that of mountain backpacksCarry on the back/in the hand using the multiple handles or pack it on a vehicle/donkey to lighten your load.,This product is good math if you are looking for a product which resist better.,8383302,DUFFEL BAG 500 EXTEND 80/120L GREY,HIKING TREK GEA,80,8581546,DUFFEL BAG 100 BASIC 100L BLACK,HIKING TREK GEA,50,156360,156360,"Not waterproof, protect belongings when raining. Our design team of trekking enthusiasts created this carry bag for holding your belongings so that you can offload while walking. Here at DECATHLON, our products are tested by a panel of users in the real-life conditions for which they were designed. 
At FORCLAZ, these tests are organised on the mountains, led by a team of engineers from our design centre, who are responsible for this mission.
Our product managers, engineers and the entire team use the results of these tests to develop and create technical products to ensure the satisfaction of our customers All our backpacks are tested in the field by users who represent the target market under the same conditions as you would encounter in use. Our Field Test Missions team up our product managers with people not affiliated with QUECHUA to test, improve and validate our products. Adaptable size thanks to the extend system For long-term storage, keep dry and protected from light A versatile carry bag with a comfortable carry system emulating that of mountain backpacksCarry on the back/in the hand using the multiple handles or pack it on a vehicle/donkey to lighten your load. Itinerance-trekking, perfectly suited to animal-based transportation such as a mule or other transportation types.",324543,"When stored for long periods, keep in a dry place away from light.  FORCLAZ’s trekking enthusiasts have designed this carry bag for you to carry your belongings and offload you when hiking. This 100L duffle type transport bag will make you load feel lighter during travels or treks. Mountain pack-style straps support the carry bag on the back.  None Eco-designed bag made from mass-dyed polyester. Not waterproof, protect belongings when raining.  Here at DECATHLON, our products are tested by a panel of users in the real-life conditions for which they were designed. 
At FORCLAZ, these tests are organised on the mountains, led by a team of engineers from our design centre, who are responsible for this mission.
Our product managers, engineers and the entire team use the results of these tests to develop and create technical products to ensure the satisfaction of our customers",Our design team of trekking enthusiasts created this carry bag for holding your belongings so that you can offload while walking. It has a comfortable carry system emulating that of mountain backpacks.
3,303057,177376,https://contents.mediadecathlon.com/p2257659/sq/2257659.jpg?f=400x400,https://contents.mediadecathlon.com/p2257563/sq/2257563.jpg?f=400x400,A sturdy inflatable canoe/kayak with high-pressure Drop Stitch floor and two raised adult seats for good paddling comfort. A good compromise between stability and performance.,This product is good math if you are looking for a product which resist better.,8511866,KAYAK X100 M,STAND UP KAYAK,350,8486041,KAYAK X100 L,STAND UP KAYAK,450,303057,303057,"ISO 6185-1 standard. Category IIIB (beach craft)
Complies with French Division 240 regulations (sailing up to 300 m from shelter) A sturdy inflatable canoe/kayak with high-pressure Drop Stitch floor and two raised adult seats for good paddling comfort. A good compromise between stability and performance. Once dry and clean, the kayak should be stored in a dry and shady place, protected from significant temperature changes.  Do not leave inflated in direct sunlight: risk of overinflation. Sail this inflatable kayak alone or with a partner. Ideal for a half-day outing, you'll enjoy superb glide performance. None Stability and paddling comfort",177376,"A solid inflatable kayak with high-pressure dropstitch bottom that seats 3 adults in a raised position for great paddling comfort. A good compromise between stability and performance.  Paddling up to 300 metres from shelter. Once dry and clean, the kayak should be stored in a dry and shady place, protected from significant temperature changes. Stability and paddling comfort ISO 6185-1 standard. Category IIIB (beach craft)
Complies with French Division 240 regulations (sailing up to 300 m from shelter) Sail on calm waters as a duo or trio with this inflatable kayak. Ideal for a half-day outing, you'll enjoy superb glide performance.",Looking for a kayak that can accommodate up to 3 adults? This kayak is a great choice.
4,313177,313198,https://contents.mediadecathlon.com/p2376773/sq/2376773.jpg?f=400x400,https://contents.mediadecathlon.com/p2376755/sq/2376755.jpg?f=400x400,"So riders can cycle all year round, this 24-inch hybrid bike is equipped with mudguards, a stand and an LED front light. The six gears let you tackle any type of trail.",This product is good math if you are looking for a product which resist better.,8576537,RIVERSIDE 500 9-12 C2,KID CYCLING AND,250,8576495,RIVERSIDE 500 6-9 NORM EUROPE,KID CYCLING AND,230,313177,313177,"Store the bike in a clean, dry place. Clean and grease the chain regularly. Our tips for before each ride: inflate the tyres to the pressure indicated on the sidewall.  We have designed this hybrid bike for kids aged 9 to 12 years (135 to 150 cm) wanting to switch from urban routes to uneven trails in any type of weather. The fully-equipped hybrid bike with 6 speeds.   So riders can cycle all year round, this 24-inch hybrid bike is equipped with mudguards, a stand and an LED front light. The six gears let you tackle any type of trail.",313198,"  The fully-equipped hybrid bike with 6 speeds. We have designed this hybrid bike for kids aged 6 to 9 years (120 to 135 cm) wanting to switch from urban routes to uneven trails in any type of weather. Store the bike in a clean, dry place. Clean and grease the chain regularly. Our tips for before each ride: inflate the tyres to the pressure indicated on the sidewall. We recommend wearing a helmet.Max user weight: 80 kg. So riders can cycle all year round, this 20-inch hybrid bike is equipped with mudguards, a stand and an LED front light. The six gears let you tackle any type of trail.","This hybrid bike is designed for kids aged 6 to 9 years (120 to 135 cm) and comes with a 20-inch wheel, while the other one is designed for kids aged 9 to 12 years (135 to 150 cm) and comes with a 24-inch wheel."
5,X6048506,X8598626,https://contents.mediadecathlon.com/p1235119/sq/1235119.jpg?f=400x400,https://contents.mediadecathlon.com/p1235119/sq/1235119.jpg?f=400x400,"Whether it's to support your favourite team, wear the same colours during a sports event, or simply give someone a personalised gift, this service is sure to leave its mark!",This product is good math if you are looking for a product which resist better.,6048506,PRINTING NAME + NUMBER PLOTTER,PERSONALIZATION,na,8598626,PRINTING NAME + NUMBER PLOTTER (DAY),PERSONALIZATION,na,X6048506,X6048506,"  Whether it's to support your favourite team, wear the same colours during a sports event, or simply give someone a personalised gift, this service is sure to leave its mark!   customising your product with name + number marking. Several colours available:come to the Workshop. Make your kit unique by personalising it with your name and favourite number. Your personalised product will be ready in less than 72 hours! ",X8598626,"   24- HOUR EXPRESS SERVICE Make your kit unique by personalising it with your name and favourite number. Express personalisation within 24 hours! Whether it's to support your favourite team, wear the same colours during a sports event, or simply give someone a personalised gift, this service is sure to leave its mark! ",Express personalisation within 24 hours!
6,308178,326611,https://contents.mediadecathlon.com/p2583214/sq/2583214.jpg?f=400x400,https://contents.mediadecathlon.com/p1956730/sq/1956730.jpg?f=400x400,Our motivation? To offer you a large living area with a self-supporting structure that can shelter up to 10 people. The three doors and large mosquito screen will protect you.,This product is good math if you are looking for a product which resist better.,8554912,BASE ARPENAZ FRESH,CAMPING HIKING,190,864538,FOLDABLE CABINET BLUE,CAMPING HIKING,60,308178,308178,"Closes completely thanks to its 3 doors Our motivation? To offer you a large living area with a self-supporting structure that can shelter up to 10 people. The three doors and large mosquito screen will protect you. Not suitable for permanent outdoor exposure. We advise that you air-dry your living room outside, including the underside. You can then store it without any risk of odours or mould developing. None To meet your requirements, Quechua products are tested out in the heart of nature in the type of conditions you may encounter during your hikes. 
Our teams, as well as a tester panel (made up of partners, ambassadors and customers), test products throughout their development until they go to market.  Our camper designers have designed this Arpenaz Base Fresh stay for ten campers who want to extend their sheltered area and ward off the weather and insects.",326611,"Multi-storage | Compact | Easy to assemble Designed to be used indoors. Do not hang the wardrobe. Our camper designers designed this Basic foldable and compact cupboard to store, organise and protect your belongings and accessories at your camp. Our motivation? To offer you a tent wardrobe that is easy to assemble and includes shelves and pockets to organise and protect your belongings on your campsite. We recommend you choose a clean, dry area. It’s best to wash and dry your wardrobe before storing it away. Our Quechua global design centre is based in Passy, at the foot of Mont-Blanc in Haute Savoie. 
This location makes it a real meeting place for our teams (designers, product managers, engineers, etc) and outdoor sports enthusiasts. 
A great asset for designing high-quality products for camping trips and giving you access to all our expertise. Our campers regularly say they need better storage, organisation and protection for their belongings to make the most of their living area. This product has been tested with campers at the foot of Mont Blanc. Thanks to their feedback, we have attached a rigid shelf on top of the wardrobe for extra storage space.",product 2 is a wardrobe with shelves and pockets to organise and protect your belongings on your campsite. product 1 is a tent with a self-supporting structure that can shelter up to 10 people.
7,184746,184745,https://contents.mediadecathlon.com/p2379578/sq/2379578.jpg?f=400x400,https://contents.mediadecathlon.com/p1521834/sq/1521834.jpg?f=400x400,Looking for a bag to easily store and carry all your sports gear? Our product design teams made this 70L travel roller bag to be highly durable and practical.,This product is good math if you are looking for a product which resist better.,8753742,ROLLER BAG ESSENTIAL 70L KAKI CHINÉ,SPORTS ACCESSOR,55,8753737,ROLLER BAG ESSENTIAL 30L BLACK,SPORTS ACCESSOR,35,184746,184746," None Our football designers developed the ESSENTIAL 70L travel bag to make travelling easier for athletes and regular users. Includes a boots pocket. WHAT IS THE KIPSTA CERTIFICATION TEAM? The Kipsta Certification Team is a team made up of qualified field test engineers known for their ability to: Set up specific test protocols linked to product use. | Recruit qualified testers with the necessary skill level to assess product functions. | Objectively analyse results using statistical tools.  At Kipsta and Decathlon, the durability of our products is very important to us. This is why we conduct a host of field tests to ensure our products are well suited for their intended use, along with many lab tests to ensure our products hold up well over time. These tests include the Jerk test, to confirm resistance to weight (repeated strain up to 10000 cycles), the traction test on fabric, the rolling test with obstacles to ensure long-lasting wheels. 70 L | Shoe pocket | 3 pockets Looking for a bag to easily store and carry all your sports gear? Our product design teams made this 70L travel roller bag to be highly durable and practical. Store this bag in a dry place. Empty it regularly to avoid unpleasant odours.",184745,"At Kipsta and Decathlon, the durability of our products is very important to us. This is why we conduct a host of field tests to ensure our products are well suited for their intended use, along with many lab tests to ensure our products hold up well over time. These tests include the Jerk test, to confirm resistance to weight (repeated strain up to 10000 cycles), the traction test on fabric, the rolling test with obstacles to ensure long-lasting wheels.  WHAT IS THE KIPSTA CERTIFICATION TEAM? The Kipsta Certification Team is a team made up of qualified field test engineers known for their ability to: Set up specific test protocols linked to product use. | Recruit qualified testers with the necessary skill level to assess product functions. | Objectively analyse results using statistical tools.  Store this bag in a dry place. Empty it regularly to avoid unpleasant odours. 30L | Cabin luggage format | Shoe pocket Our football designers developed the ESSENTIAL 30L travel bag to make travelling easier for sports users. Carry-on standards.  Looking for a practical wheeled sports bag? We have designed the Classic 30L wheeled bag with a compartment to separate your shoes from the rest of your sporting equipment.","If you're looking for a smaller bag that meets carry-on standards, this 30L wheeled bag is a great option."
8,329980,307396,https://contents.mediadecathlon.com/p2583537/sq/2583537.jpg?f=400x400,https://contents.mediadecathlon.com/p1763665/sq/1763665.jpg?f=400x400,"Our motivation? To offer you an extremely thick, self-inflating 136 cm mattress that is twinnable and very simple to set up for home comfort when camping.",This product is good math if you are looking for a product which resist better.,8736598,MATTRESS DOUBLE SI ULTIM COMFORT,CAMPING HIKING,170,8759611,US SI ARPENAZ ULTIM COMFORT,CAMPING HIKING,100,329980,329980,"We recommend you store your mattress away from moisture and extreme temperatures. Very comfortable | Quick set-up | Attachable Our camping designers have created this extremely thick, self-inflating Ultim Comfort Double mattress for two campers looking for home comfort. To fulfil your needs, the Quechua products are tested in the countryside under the conditions that you will come across when camping. 
Our teams, as well as a tester panel (made up of partners, ambassadors and customers), test products throughout their development until they go to market. Sleep comfort of mattresses is measured by our Research and Development centre. All our mattresses undergo mechanical tests that assess their performance and durability to guarantee good sleep and good recovery when camping. Caution: choose your mattress width according to your tent's interior measurements. Maximum recommended weight: 220 kg. Do not use in the water. Our motivation? To offer you an extremely thick, self-inflating 136 cm mattress that is twinnable and very simple to set up for home comfort when camping. None",307396,"We recommend you store your mattress away from moisture and extreme temperatures. Sleep comfort of mattresses is measured by our Research and Development centre. All our mattresses undergo mechanical tests that assess their performance and durability to guarantee good sleep and good recovery when camping. 
Caution: choose your mattress width according to your tent's interior measurements.  Our team of enthusiasts designed the very thick Ultim Comfort self-inflating mattress for campers who want the comforts of home. Maximum advised weight: 110 kg. 
Not for use on water. Our motivation? To offer you an extremely thick, self-inflating 70 cm mattress that is twinnable and very simple to set up for home comfort when camping. None Very comfortable | Quick set-up | Attachable","If you are looking for a thicker mattress, this one could be for you."
9,173213,173212,https://contents.mediadecathlon.com/p1103504/sq/1103504.jpg?f=400x400,https://contents.mediadecathlon.com/p1103499/sq/1103499.jpg?f=400x400,These rubber weight discs are easy to use with multiple grips and stainless steel collars for faster loading. The coating will protect your floors from knocks.,This product is good math if you are looking for a product which resist better.,8388696,DISC RUBBER 5 KGS,BODYBUILDING EQ,20,8388695,DISC RUBBER 2.5 KGS,BODYBUILDING EQ,10,173213,173213, These rubber weight discs are easy to use with multiple grips and stainless steel collars for faster loading. The coating will protect your floors from knocks.  Ergonomic handles   Choose a 5 kg weight training disc for a 28 mm bar that's versatile thanks to its handles. You can use it with or without a bar! Sold individually. weight training: disc compatible with 28 mm diameter bars.,173212,"Do not store in a damp place or outdoors to avoid corrosion.
Do not store directly on the ground. Use a protective mat to prevent damage to your floor. weight training at home. This disc weight (28mm diameter) was developed by our coaches and design team. Easy to install with the stainless steel collar.   The rubber coating on this cast iron weight training disc absorbs impacts and reduces noise while protecting your floors. This weight is compatible with all 28 mm bars.  ",This disc weight (28mm diameter) was developed by our coaches and design team. Easy to install with the stainless steel collar. The rubber coating on this cast iron weight training disc absorbs impacts and reduces noise while protecting your floors.
